#configname,clex_mut
SCEL8_1_1_8_0_0_0/21,-0.198321837904
SCEL8_1_1_8_0_0_0/22,-0.083259025537
SCEL8_1_1_8_0_0_0/23,-0.0840673857522
SCEL8_1_1_8_0_0_0/3,-0.271089552955
SCEL8_1_1_8_0_0_0/4,-0.0778541311663
SCEL8_1_1_8_0_0_0/5,-0.175467904026
SCEL8_1_1_8_0_0_0/6,-0.270586440404
SCEL8_1_1_8_0_0_0/7,-0.175202044197
SCEL8_1_1_8_0_0_0/8,-0.264525912286
SCEL8_1_1_8_0_0_0/9,-0.26311590017
SCEL8_2_2_2_0_0_0/0,-0.171477698753
SCEL8_2_2_2_0_0_0/1,-0.35106303399
SCEL8_2_2_2_0_0_0/2,-0.339558467234
SCEL8_2_2_2_0_0_0/3,-0.365507978889
SCEL8_2_2_2_0_0_0/4,-0.422168135931
SCEL8_2_2_2_0_0_0/5,-0.415451783367
SCEL8_2_2_2_0_0_0/6,-0.449579552557
SCEL8_2_2_2_0_0_0/7,-0.202010265862
SCEL8_2_4_1_0_1_1/0,-0.136267522491
SCEL8_2_4_1_0_1_1/1,-0.25648683743
SCEL8_2_4_1_0_1_1/10,-0.299247099413
SCEL8_2_4_1_0_1_1/11,-0.377537174488
SCEL8_2_4_1_0_1_1/12,-0.316527201336
SCEL8_2_4_1_0_1_1/13,-0.288406385353
SCEL8_2_4_1_0_1_1/14,-0.320966543111
SCEL8_2_4_1_0_1_1/15,-0.353599333006
SCEL8_2_4_1_0_1_1/16,-0.23272922822
SCEL8_2_4_1_0_1_1/17,-0.274454362397
SCEL8_2_4_1_0_1_1/18,-0.382706408768
SCEL8_2_4_1_0_1_1/19,-0.334647425232
SCEL8_2_4_1_0_1_1/2,-0.278202733516
SCEL8_2_4_1_0_1_1/20,-0.339924153352
SCEL8_2_4_1_0_1_1/21,-0.307426853605
SCEL8_2_4_1_0_1_1/22,-0.234322752847
SCEL8_2_4_1_0_1_1/23,-0.155030982483
SCEL8_2_4_1_0_1_1/3,-0.364047700595
SCEL8_2_4_1_0_1_1/4,-0.231901479116
SCEL8_2_4_1_0_1_1/5,-0.341267566823
SCEL8_2_4_1_0_1_1/6,-0.433336371684
SCEL8_2_4_1_0_1_1/7,-0.238503583869
SCEL8_2_4_1_0_1_1/8,-0.307855569652
SCEL8_2_4_1_0_1_1/9,-0.351702271913
SCEL8_2_4_1_1_0_1/0,-0.175485640298
SCEL8_2_4_1_1_0_1/1,-0.28379679019
SCEL8_2_4_1_1_0_1/10,-0.397475561865
SCEL8_2_4_1_1_0_1/11,-0.374988308131
SCEL8_2_4_1_1_0_1/12,-0.390593293771
SCEL8_2_4_1_1_0_1/13,-0.383385880553
SCEL8_2_4_1_1_0_1/14,-0.312760661908
SCEL8_2_4_1_1_0_1/15,-0.437048676299
SCEL8_2_4_1_1_0_1/16,-0.347491966805
SCEL8_2_4_1_1_0_1/17,-0.201217123853
SCEL8_2_4_1_1_0_1/2,-0.311145886517
SCEL8_2_4_1_1_0_1/3,-0.367925610959
SCEL8_2_4_1_1_0_1/4,-0.363849970896
SCEL8_2_4_1_1_0_1/5,-0.404279603031
SCEL8_2_4_1_1_0_1/6,-0.369439457814
SCEL8_2_4_1_1_0_1/7,-0.407203346295
SCEL8_2_4_1_1_0_1/8,-0.427523837703
SCEL8_2_4_1_1_0_1/9,-0.39989542805
SCEL8_2_4_1_1_1_0/0,-0.181373089321
SCEL8_2_4_1_1_1_0/1,-0.30505025806
SCEL8_2_4_1_1_1_0/10,-0.332364194535
SCEL8_2_4_1_1_1_0/11,-0.209173187021
SCEL8_2_4_1_1_1_0/12,-0.378582926147
SCEL8_2_4_1_1_1_0/2,-0.382665498644
SCEL8_2_4_1_1_1_0/3,-0.417877310629
SCEL8_2_4_1_1_1_0/4,-0.423538193874
SCEL8_2_4_1_1_1_0/5,-0.444741134099
SCEL8_2_4_1_1_1_0/6,-0.400477373377
SCEL8_2_4_1_1_1_0/7,-0.450171664602
SCEL8_2_4_1_1_1_0/8,-0.437719691837
SCEL8_2_4_1_1_1_0/9,-0.444794698885
SCEL8_4_1_2_0_0_0/0,-0.135683616324
SCEL8_4_1_2_0_0_0/1,-0.229203514912
